"粉丝昵称","商家状态","内容类型","内容","时间","是否自动回复","是否群发","加星","备注"
"颖????????????????","发送","文本","感谢你的关注，可以继续留意我们的微信公众号：同学米店。会有更多优惠活动等着你们哦，我们已经记录了你的快递信息，将以最快的速度为你发货！感谢你对同学米店的支持","2015-05-12 11:05:53","否","否","0",""
"刘长春是超人(Ta113)","发送","文本","欢迎关注我们！","2015-05-12 13:38:17","否","否","0",""
"珊瑚","发送","文本","支付成功通知，您在【同学米店】购买的“五常稻花香米”商品已支付成功，卖家将尽快给您发货。查看详情 http://wap.koudaitong.com/v2/showcase/usercenter?alias=19n1d019x","2015-05-12 17:00:22","否","否","0",""
"珊瑚","发送","文本","您购买的“五常稻花香米”已于2015-05-12 17:10:37，使用韵达快运发货啦！快递单号：1901106106021。<a href=”http://wap.koudaitong.com/v2/trade/order/result?order_no=E20150512170012179210137&kdt_id=754149”>跟踪物流详细</a>","2015-05-12 17:10:37","否","否","0",""
"同学米店","发送","文本","支付成功通知，您在【同学米店】购买的“五常稻花香米”商品已支付成功，卖家将尽快给您发货。查看详情 http://wap.koudaitong.com/v2/showcase/usercenter?alias=19n1d019x","2015-05-12 18:52:37","否","否","0",""
"同学米店","发送","文本","支付成功通知，您在【同学米店】购买的“五常稻花香米”商品已支付成功，卖家将尽快给您发货。查看详情 http://wap.koudaitong.com/v2/showcase/usercenter?alias=19n1d019x","2015-05-12 18:53:31","否","否","0",""
"同学米店","发送","文本","嗨！您要购买的“五常稻花香米”还没付款哦。<a href=”http://trade.koudaitong.com/wxpay/pay?order_no=E20150512184954197784731&kdt_id=754149&showwxpaytitle=1”>查看详情</a>","2015-05-12 19:09:51","否","否","0",""
"长建兄","发送","文本","黑夜给了我一双黑色的眼睛，而我却用它寻找光明这是一条不无聊的测试消息~","2015-05-12 21:27:36","否","否","0",""
"长建兄","接收","文本","admin：18601101463","2015-05-12 23:34:23","是","否","0",""
"长建兄","发送","文本","绑定成功！","2015-05-12 23:34:23","否","否","0",""
"长建兄","接收","文本","？","2015-05-12 23:35:59","否","否","0",""
"长建兄","接收","文本","？","2015-05-12 23:36:40","否","否","0",""
"长建兄","接收","文本","你好","2015-05-12 23:38:25","否","否","0",""
"小君","接收","文本","你好","2015-05-12 23:39:33","否","否","0",""
"小君","接收","文本","？","2015-05-12 23:44:33","是","否","0",""
"小君","发送","文本","你好","2015-05-12 23:44:33","否","否","0",""
"小君","接收","文本","你好","2015-05-12 23:44:43","否","否","0",""
"财神","发送","文本","欢迎关注我们！","2015-05-13 09:11:54","否","否","0",""
"小君","发送","文本","同学早上好！我们有正餐米、粥米、宝宝粥米、炒饭米、纤体糙米，您想了解哪种呢？我们现在在做母亲节活动哦，全部米米都有8折优惠哦！","2015-05-13 09:13:26","否","否","0",""
"dedelu","发送","文本","欢迎关注我们！","2015-05-13 10:11:56","否","否","0",""
"快乐洋溢小片片","发送","文本","欢迎关注我们！","2015-05-13 12:23:25","否","否","0",""
"快乐洋溢小片片","接收","文本","您好：我要如何换这券","2015-05-13 12:29:37","否","否","0",""
"快乐洋溢小片片","发送","文本","欢迎光顾同学米店！我们等你很久咯！“VIP”礼包正在火热兑换中，请输入礼券右下角的兑换号，接下来的事情交给我啦！","2015-05-13 12:42:19","否","否","0",""
"快乐洋溢小片片","接收","文本","11291937、11773659","2015-05-13 13:01:53","否","否","0",""
"快乐洋溢小片片","发送","文本","同学您好，请您把完整礼券的正反面拍照发给我们，马上为您兑换哦","2015-05-13 13:52:24","否","否","0",""
